,model_out_raw,history,text,restored_text
47,"Согласен. Я отдыхаю вместе с книгой, она меня не напрягает, особенно люблю читать на природе, и полезно, и приятно. Я тоже люблю живую музыку, сам, кстати, тоже неплохо пою.","['Привет! Давай знакомиться? Ты из России?', 'Привет. Давай знакомиться. Нет, я не из России, из Украины.', 'О, как интересно, ты из Украины! Сам из России, но я бы очень хотел жить за границей. Расскажи, как у вас обстоят дела с трудоустройством для приезжих?', 'Я бы тоже не против пожить за границей. В целом у нас хорошо, особых проблем с трудосустройством для приезжих нет, мы гостеприимная страна.', 'Здесь я работал учителем карате для детей, они называли меня каратистом. По здоровью пришлось уйти. Стал безработным. Слышал, у вас популярно фермерское хозяйство? А ты где-нибудь работаешь?', 'Ооо, интересно как, ты работал учителем карате. Очень жаль, что ты стал безработным. Да, фермерское хозяйство у нас даже очень популярно, за натуральные домашние продукты люди готовы платить хорошие деньги. Нет, я нигде не работаю. Недавно закончил школу, планирую переезжать в Молдавию, уж очень я люблю эту страну.', 'Поздравляю с окончанием школы, важный этап жизни пройден! За что ты любишь страну Молдавию? У себя в деревне я развожу кроликов, может, этот опыт пригодится. А чем ты увлекаешься в свободное время?', 'Точно, важный этап жизни пройден, спасибо за поздравление. Мои родители и предки родом из Молдавии. Часто ездил в Молдавию в детстве, люблю их обычаи, традиции. Да и просто Молдавия мне близка. Это хорошее хобби - разводить кроликов. Я думаю, что я гений, потому что в свободное время я занимаюсь самосовершенством.', 'Вернуться к корням всегда правильно. Очень полезно времяпрепровождение - самосовершенствование, а как же отдых душой и телом? Я, например, очень люблю играть в теннис на выходных, слушать живые выступления музыкантов. А что нравится тебе?']","Согласен. Я отдыхаю вместе с книгой, она меня не напрягает, особенно люблю читать на природе, и полезно, и приятно. Я тоже люблю живую музыку, сам, кстати, тоже неплохо пою.","Согласен, вернуться к корням это правильно. Я отдыхаю вместе с книгой, она меня не напрягает, особенно люблю читать на природе, и полезно, и приятно. Я тоже люблю живую музыку, сам, кстати, тоже неплохо пою."
48,Меня зовут Василиса. Тортиками я тебя угощу.,"['Добрый вечер! Чем занимаешься?', 'Привет, я домохозяйка. У меня есть дочка. Ей 6 лет. Живу в деревне. Моё хобби - вязание и чтение книг. Расскажи, чем занимаешься.', 'А я делаю торты на заказ. Люблю сладенькое, но чтобы оставаться красавицей себе не позволяю. О, а я очень люблю вышивать крестиком. Подружимся.', 'Вот бы мне такую силу воли.', 'У тебя есть домашние животные? Или твоей дочке нельзя?', 'А как тебя зовут? Кстати, я люблю тортики.', 'Меня зовут Вася, Василиса. Тортиками я тебя угощу)']",Меня Нурия.,Меня зовут Нурия.
49,Мне 35. Хочу найти свою вторую половинку.,"['Привет. Кем работаете? Что любите?', 'Привет, как дела? Я бухгалтер, люблю разводить цветы и путешествие. А вы что любите?', 'Я дальнобойщик. Люблю путешествовать. Имею собаку. А у вас есть питомец?', 'Сколько вам лет, о чём мечтаете? У меня кот.']",Мне 35. Хочу найти свою вторую половинку.,Мне 35 лет. Хочу найти свою вторую половинку.
50,"У природы нет плохой погоды, но вот весной в период цветения мучаюсь от аллергии. Животных у меня нет, а у тебя есть животные?","['Привет!', 'Привет.', 'Расскажи о себе.', 'Только если ты потом расскажешь о себе...', 'Я работаю в больнице после окончания университета.', 'Я люблю грузинскую кухню. Я учитель.', 'Я тоже люблю Грузию, но из-за моря.', 'Люблю дождь и катаюсь на роликах.', 'Учитель очень хорошая профессия, чем в свободное время занимаешься? А всё, понял, ты катаешься на роликах.', 'У тебя есть животные?', 'У природы нет плохой погоды, но вот весной в период цветения мучаюсь от аллергии. Животных у меня нет, а у тебя есть животных?']",Есть лабрадор.,У меня есть лабрадор.
51,"Переписанное неполное высказвание: Нет, спасибо, я дед, мне уже ни к чему.","['Привет.', 'Добрый день!', 'Причёску не нужно сделать? Я могу.']","Нет, спасибо, я дед, мне уже ни к чему.","Нет, спасибо, я дед, мне уже ни к чему делать прически."
52,"Привет, что делаешь? Неполное высказвание: Привет,шью одежду. А ты?","['Привет, что делаешь?']","Привет,шью одежду. А ты?","Привет, шью одежду. А ты что делаешь?"
53,Зато у меня есть автомобиль. Ты умеешь готовить? Я готовлю выпечку... Очень вкусно!,"['Привет!', 'Привет.', 'Расскажи о себе.', 'Я работаю продавцом, у меня есть хомяк.', 'Ого, здорово, у тебя есть хомяк!', 'Сейчас болею.', 'А я работаю врачом. Чем тебе помочь?', 'Теперь ты расскажи о себе. Спасибо за заботу!', 'Какой твой любимый спорт? Я люблю бокс и выпить пивка под него.', 'Мой любимый спорт - это футбол. У тебя есть жена или муж?', 'Нет, у меня нет жены или мужа.', 'Я вот хочу жениться.']",Зато у меня есть автомобиль. Ты умеешь готовить? Я готовлю выпечку... Очень вкусно!,Зато у меня есть автомобиль. Ты умеешь готовить? Я готовлю выпечку… Выпечка это очень вкусно!
54,"Включаю её, когда занимаюсь йогой.","['Привет, я фрилансер.', 'Привет, я йог.', 'Мечтаю побывать в Европе. И у меня есть кот. А что ты любишь? Кем работаешь?', 'У меня есть кошка.', 'Я не женат.', 'Люблю играть на пианино. Я тоже люблю играть на пианино.', 'Чем в свободное время любишь заниматься?', 'В доту катаю.', 'Чётко, в доту играешь. А я играю в Ентропию, юниверс.', 'Класс, играешь в Ентропию. Какую музыку любишь слушать?', 'Слушаю рэги, рэпчик, лаунж, драм. А ты что слушаешь?', 'А по классике угораю.', 'Жирно, я очень уважаю классику!']","Включаю её, когда занимаюсь йогой.","Включаю классику, когда занимаюсь йогой."
55,"Кем работаешь, Артем?","['Привет.', 'Привет.', 'У тебя есть животные? У меня есть кот.', 'Я Катя, как тебя зовут?', 'Меня зовут Артем.']","Да, у меня три кошки персидской породы. Очень приятно! Кем работаешь, Артем?","Да, у меня есть животные, три кошки персидской породы. Очень приятно познакомиться! Кем работаешь, Артем?"
56,"Привет, я вырезаю фигурки из под банок Пепси, а вы?","['Привет, что делаешь?']","Здравствуйте, я вырезаю фигурки из под банок Пепси, а вы?","Здравствуйте, я вырезаю фигурки из под банок Пепси, а вы что делаете?"
57,"У тебя двое, как и у меня.","['Привет.', 'Привет. Как дела?', 'Дела отлично! Погода - прелесть, на душе радость, а ты как?', 'Я хорошо. Я немного уставший, только я пришёл с тренировки.', 'О! Я тоже люблю тренировки. Йогой увлекаюсь. Часто путешествую, и меня втянули в йогу на воде. Слышал про йогу на воде? А жена у тебя увлекается спортом?', 'Жена - нет, не увлекается спортом, но дети увлекаются спортом. Сын занимается футболом, а дочь на коньках катается. А твоя семья чем любит заниматься?']","У тебя их двое, как и у меня.","У тебя двое детей, как и у меня."
58,"О. Круто, ты программист. Можно сказать, я тоже программист, но программирую людей. Скажем так, нейрохакинг.","['Привет.', 'Привет, я молодой программист. А ты кто?', 'О. Круто, ты программист. Можно сказать, я тоже программист, но программирую людей. Скажем так, нейрохакинг.']",Конкретней.,Конкретней кто ты?
59,Круто.,"['Здравствуйте.', 'Привет, не хочешь ко мне на кофе сходить? У меня мама варит кофе. Ты знаешь, кто такой баха? Честно сказать, не люблю его.', 'Конечно, я не против сходить к тебе на кофе, как раз кофе это мой любимый напиток.', 'У меня есть хобби: я люблю выращивать кукурузу и ещё вязать люблю. И моя короночка - я владею суахили.', 'Выращивать кукурузу и вязать это отличное хобби, а я работаю медбратом, а моя жена работает медсестрой.']",Круто.,"Круто, ты работаешь медбратом, а твоя жена медсестрой."
60,А у меня только дочка. И мечты.,"['Привет.', 'Привет. Как поживаешь?', 'Я не очень люблю общаться.', 'Это не очень почему так не любишь общаться?', 'Я много работаю, чтобы побольше заработать.', 'А я люблю общаться много читаю.', 'У меня свой бизнес и ещё невеста дура.', 'Оооо, это печально, что невеста дура. Надо что-то менять.', 'Но я её это самое люблю.']",А у меня только дочка. И мечты.,А у меня только дочка есть. И мечты.
61,"Нет, у меня нет детей, я ещё в школу хожу. Вот пришёл недавно из школы, скоро пойду играть в баскетбол с друзьями. А ты любишь баскетбол?","['Привет.', 'Привет! Как дела?', 'Дела хорошо.', 'Чем занимаешься?', 'Я отвела детей в сад и школу, буду готовить обед. У тебя есть дети?', 'Нет, у меня нет детей, я ещё в школу хожу. Вот пришёл недавно из школы, скоро пойду играть в баскетбол с друзьями. А ты любишь баскетбол?']",А понятно. Да как-то не очень.,"А понятно, ты в школу ходишь. Да как-то не очень люблю баскетбол."
62,"И я нет. Может, это знак? Ха-ха, шучу.","['Привет.', 'Привет, расскажи о себе.', 'Как тебя зовут?', 'Меня зовут Настя, что означает воскресшая. Ха-ха-ха-ха-хах. Вот же я шутница, просто улет А тебя как зовут?', 'Я полицейский. Люблю путешествовать и играть в видеоигры. Меня зовут Олег. Расскажи про себя.', 'Вау, у меня ещё не было друзей полицейских. Лишь продавцы и менеджеры. Каждые выходные провожу с ними время. Я работаю ветеринаром. Ты женат, Олег?', 'Нет, я не женат. А ты замужем?']","И я нет. Может, это знак? Ха-ха, шучу.","И я не замужем. Может, это знак? Ха-ха, шучу."
63,"У меня много увлечений, также люблю бегать, а ты?","['Привет!', 'Привет.', 'Чем занимаешься? Вот у меня много увлечений.', 'Кем ты работаешь? Чем увлекаешься? Я медсестра и люблю шить.', 'Я студент.', 'Где учишься?', 'Учусь в МГУ.', 'Чем увлекаешься?']","У меня много увлечений, также люблю бегать. А ты?","У меня много увлечений, также люблю бегать. А ты чем увлекаешься?"
64,Обожаю детей! С этим и связана моя работа.,"['Здравствуйте.', 'Добрый день! Как ваши дела?', 'Всё хорошо, как ваши дела?', 'Дела отлично. Собираюсь на любимую работу. Вы чем заняты?', 'А я пенсионерка. Сейчас буду готовиться для внуков боб. У меня внуков двое. А вы чем занимаетесь? Какое у вас хобби?']",Обожаю детей! С этим и связана моя работа.,Обожаю детей! С детьми и связана моя работа.
65,Хорошо. В моей большой семье всё хорошо. Как у тебя? Моё хобби — автомобили. А твоё?,"['Привет.', 'Привет.', 'Как дела? Чем ты увлекаешься?']",Хорошо. В моей большой семье всё хорошо. Как у тебя? Моё хобби — автомобили. А твоё?,Дела хорошо. В моей большой семье всё хорошо. Как у тебя дела? Моё хобби — автомобили. А твоё хобби?
66,Добрый день! Чем увлекаетесь?,['Привет. Как дела?'],"Добрый день! Хорошо, чем увлекаетесь?","Добрый день! Дела хорошо, чем увлекаетесь?"
67,"Когда-нибудь у тебя будет собака, которую ты хочешь.","['Привет, как дела?', 'Привет, всё ок! Ты как?', 'Я отлично, учителем работаю.', 'Как зовут-то тебя?', 'А ты кем работаешь? Меня зовут Ксюша.', 'Пока я студент, меня зовут Андрей. Есть дети?', 'А я вот замужем уже как три года, но детей у меня пока нет. Живём с мужем в 2-х комнатной квартире.', 'Ясно, ты замужем.', 'Чем увлекаешься?', 'А у меня два кота. Люблю помогать окружающим. Оч. хочу собаку, но пока без вариантов завести собаку.', 'Жалко, что ты не можешь завести собаку.', 'Ну бывает, что нельзя завести собаку.', 'Ну надеюсь, когда-то ты купишь себе собаку, которую хочешь.']",Когда-нибудь будет всё. Обязательно!,Когда-нибудь будет всё. Обязательно куплю себе собаку!
68,"О, студент, помню эти времена, а я женат уже, строю дома. А летом в нашем частном доме расслабляюсь в бассейне, а хотел бы как ты. Ну так, там весело по выходным. А ты на выходных?","['Привет!', 'Приветствую! Это я не тебя в баре видел на той неделе.', 'Как дела? Чем занимаетесь?', 'Хей, приятель.', 'Неее, точно не меня видел! Мне по барам сейчас ходить некогда - учёба. А вот летом... Сейчас только в кино иногда успеваю выбраться. А ты любитель посидеть в баре?']","О, студент, помню эти времена, а я женат уже, строю дома. А летом в нашем частном доме расслабляюсь в бассейне, а хотел бы как ты. Ну так, там весело по выходным. А ты на выходных?","О, ты студент, помню студенческие времена, а я женат уже, строю дома. А летом в нашем частном доме расслабляюсь в бассейне, а хотел бы как ты опять пойти учиться. Ну так, сижу иногда в баре, там весело по выходным. А ты на выходных что делаешь?"
69,"Нет, я с Украины. Когда-то объеду весь мир на машине, но там, где есть дороги. Любишь скорость?","['Привет.', 'Привет! Как поживаешь?', 'Отлично поживаю. Чем занимаешься?', 'Собираюсь на тренировку, уже немного опаздываю на тренировку. А ты чем занимаешься?', 'А я в бассейн собираюсь. Лето не скоро, а плавать обожаю. А ты любишь плавать?', 'Я тоже люблю плавать! Я спортсмен, занимаюсь прыжками в воду. Самое смешное - я никогда не был на море, а ты была на море?', 'Я была на море))). И не раз была на море, сейчас хвастаюсь)). А ты откуда?', 'Здорово, что ты была на море, тоже мечтаю поехать на море) Я из СПб, живу в Петергофе - это где много парков и фонтаны, не бывала в Петергофе?']","Нет, я с Украины. Когда-то объеду весь мир на машине, но там, где есть дороги. Любишь скорость?","Нет, я не была в Петергофе, я с Украины. Когда-то объеду весь мир на машине, но там в мире, где есть дороги. Любишь скорость?"
70,"У меня нет детей, а у тебя?","['Привет. Расскажи о себе.', 'Привет. Я очень люблю искусство, я художник. У тебя есть любимая картина?', 'Нет, я не интересуюсь художественным искусством. Я люблю рыбалку и хорошо шью.', 'Рыбалка - это здорово. Я, конечно, не рыболов, но природу люблю. У тебя есть дети?']","У меня нет детей, а у тебя?","У меня нет детей, а у тебя есть дети?"
71,"Ух ты, здорово, а я шить не особо умею, хотя хочу этому научиться... Может, ты мне в этом поможешь? Я тебя так понимаю :)) У меня есть младший брат... Это, конечно, не кот, но тоже мне постоянно мешает:)) Чем ты занимаешься, помимо занятий шитьем? Я очень хорошо катаюсь на коньках.","['Привет. Чем занимаешься?', 'Привет! Гуляю по мостовой, на улице замечательная погода. Люблю дождь! А ты можешь рассказать о себе?', 'А я люблю шить очень. Люблю шить для себя и для друзей. Да и на заказ тоже шить люблю. Но мой черный кот постоянно мне мешает шить, мой кот проказник. Хоть мой кот и черный, но я очень люблю своего кота, ведь я не суеверный человек.']","Ух ты, здорово, а я шить не особо умею, хотя хочу этому научиться... Может, ты мне в этом поможешь? Я тебя так понимаю :)) У меня есть младший брат... Это, конечно, не кот, но тоже мне постоянно мешает:)) Чем ты занимаешься, помимо занятий шитьем? Я очень хорошо катаюсь на коньках.","Ух ты, здорово, ты любишь шить, а я шить не особо умею, хотя хочу научиться шить... Может, ты мне поможешь научиться шить? Я тебя так понимаю, что тебе кот мешает :)) У меня есть младший брат... Младший брат это, конечно, не кот, но мой брат тоже мне постоянно мешает:)) Чем ты занимаешься, помимо занятий шитьем? Я очень хорошо катаюсь на коньках."
72,"К сожалению, ни разу не была, но, наверное, это интересно ловить рыбку. У меня есть котик, я бы ему всю рыбу скормила. Он пушистый, рыжего окраса. Я очень люблю котиков.","['Привет, хочу узнать тебя, я бомж, да, так сложилась судьба, но живу в коттедже, очень люблю пиццу, а какая твоя любимая еда? Ау!', 'Привет! Мне 11 лет, я очень рада познакомиться, всегда рада новым знакомствам! Я тоже очень люблю пиццу! А ещё я обожаю танцевать, а у тебя есть хобби?', 'Да, у меня есть хобби, моё хобби - это рыбалка. Я рыбалку просто обожаю! Мне нравится занятие рыбалкой, рыбалка меня успокаивает. Правда, мне жалко рыбешек, поэтому я отпускаю рыбешек. А как ты относишься к рыбалке?']","К сожалению, ни разу не была, но, наверное, это интересно ловить рыбку. У меня есть котик, я бы ему всю рыбу скормила. Он пушистый, рыжего окраса. Я очень люблю котиков.","К сожалению, ни разу не была на рыбалке, но, наверное, это интересно ловить рыбку. У меня есть котик, я бы ему всю рыбу скормила. Мой котик пушистый, рыжего окраса. Я очень люблю котиков."
73,"Я очень люблю людей и свою семью! У меня двое деток, а у Вас?","['Привет!', 'Привет.', 'Как дела?', 'Спасибо, дела хорошо, а как Вы?', 'Я тоже хорошо, спасибо! Чем занимаешься?', 'Помогаю окружающим, люблю животных. А Вы чем занимаетесь?', 'Круто! Я тоже помогаю окружающим, лечу людей, я врач, а у вас семья есть?', 'Здорово, вы врач! Значит, Вы не просто помогаете, а спасаете жизни.', 'Спасибо!', 'Да, у меня есть семья.']","Я очень люблю людей и свою семью! У меня двое деток, а у Вас?","Я очень люблю людей и свою семью! У меня двое деток, а у Вас есть дети?"
74,"Я живу в большом городе, и у нас много ателье, где есть пошив одежды, модельеры очень неплохо получают.","['Приветик!', 'Привет! Не отвлекаю? Как вечер проводишь?', 'Я Марина, я сейчас на работе, я её очень люблю и задерживаюсь допоздна.', 'А я смотрю ужастики, обожаю их! А кем работаешь?', 'Я модельер, а ты кем работаешь?', 'О, модельер это интересная и творческая работа! Я тоже работать люблю, но пока лишь подрабатываю промоутером, так как ещё учусь). А чем ты увлекаешься? Хотя твоя работа и есть, наверное, увлечение.', 'У меня две сестрёнки, очень люблю деток, тоже хочу двоих, ты женат?']","Я живу в большом городе, и у нас много ателье, где есть пошив одежды, модельеры очень неплохо получают. Нет ещё. Но обязательно женюсь, так как люблю покушать, а сам готовлю плохо. А ты замужем?","Я живу в большом городе, и у нас много ателье, где есть пошив одежды, модельеры очень неплохо получают. Нет, я ещё не женат. Но обязательно женюсь, так как люблю покушать, а сам готовлю плохо. А ты замужем?"
75,"История: Я учусь в школе, мне 17 лет. А ты работаешь? Неполное высказвание: Нет, я занимаюсь только тем, чем хочу.","['Привет.', 'Привет.', 'Расскажи о себе.', 'Я учусь в школе, мне 17 лет. А ты работаешь?']","Нет, я занимаюсь только тем, чем хочу.","Нет, не работаю, я занимаюсь только тем, чем хочу."
76,"Ох, я из России, но на самом деле мечтаю жить за границей, например, на берегу Карибского моря. А ты?","['Привет!', 'Привет. Ты откуда?']","Ох, я из России, но на самом деле мечтаю жить за границей. Например, на берегу Карибского моря. А ты?","Ох, я из России, но на самом деле мечтаю жить за границей. Например, на берегу Карибского моря. А ты где живешь?"
77,"А я тогда рисовальный, потому что люблю рисовать.","['Привет, меня зовут Кристина, мне 12 лет.', 'Привет! Меня зовут Виталик, и я архивный юноша.', 'А что значит архивный юноша?', 'Хочу всё заархивировать, какую музыку предпочитаешь?']","А я тогда рисовальный, потому что люблю рисовать.","А я тогда рисовальный юноша, потому что люблю рисовать."
78,"А я фрилансер. Неполное высказвание: Класс, ещё я очень хорошо плаваю, а у вас хобби есть?","['Добрый день!', 'Привет.', 'Чем вы увлекаетесь?', 'Обожаю клубы и клубную музыку. Жаль времени на клубы нет, у меня трое детей. А у вас есть дети?', 'У меня есть рыжий кот! Я домохозяйка, люблю печь. Также увлекаюсь косметологией. Кем работаете?', 'А я фрилансер.']","Класс, ещё я очень хорошо плаваю, а у вас хобби есть?","Класс, вы фрилансер, ещё я очень хорошо плаваю, а у вас хобби есть?"
79,"Привет, отлично, гуляю с подругами. А у тебя?","['Привет, как дела?']","Привет, отлично, гуляю с подругами. А у тебя?","Привет, отлично, гуляю с подругами. А у тебя как дела?"
80,Это как :)))))))),"['Привет.', 'Привет! Как тебя зовут?', 'Напиши что-нибудь, люблю читать. Меня зовут Маша, а тебя как зовут?', 'Я Анатолий.', 'Чем занимаешь?', 'Глажу кошку. Это если в данный момент...', 'Я тоже глажу кошку, только к нам ещё и кот лезет.', 'Чем ты любишь заниматься? Есть ли у тебя хобби?', 'Стихи сочиняют, правда, стихи не очень. А ты чем любишь заниматься?', 'Я рыбалку люблю!', 'Много наловил рыбы на рыбалке?', 'Правда, не люблю рыбу готовить. Да, по настроению ловлю рыбу можно сказать.']",Это как :)))))))),Это как - ловить рыбу по настроению? :))))))))
81,"Хорошо, а в тебя?",['Привет! Как дела?'],"Хорошо, а в тебя?","Хорошо у меня дела, а в тебя как дела?"
82,"Животные есть? Я умею шить, моё хобби.","['Привет.', 'Привет.', 'А я замуж вышла.', 'А я женат. Какие у тебя хобби?']","Животные есть? Я умею шить, моё хобби.","Животные у тебя есть? Я умею шить, моё хобби."
83,"Александр, можно просто Саша. А тебя?","['Привет!', 'Привет. Тебя как зовут?']","Александр, можно просто Саша. А тебя?","Меня зовут Александр, можно просто Саша. А тебя как зовут?"
84,"Ого, как интересно =) популярный блог? Это твоя основная деятельность? А по блинчикам я мастер, умею вкусно готовить =) Ого, змея - это экзотика. Сегодня фильмы смотреть. А ты?","['О привет. Рад познакомиться. Ты откуда?', 'Привет, взаимно. Я из Питера, а ты откуда? Есть чё по блинчикам?) Обожаю блинчики.', 'Я из Краснодара =) Да вот только что испек блины, едим блины с хорьком вдвоем =) Куда доставить тебе блины? У тебя есть домашние животные?', 'Я б сказал, куда доставить блины, да боюсь, хейтеры узнают адрес, я блогер)) У меня есть змея, но я змею ужасно боюсь, мне девушка подарила змею, а сказать девушке о том, что я боюсь змею, стыдно. Чем планируешь заняться?']","Ого, как интересно =) популярный блог? Это твоя основная деятельность? А по блинчикам я мастер, умею вкусно готовить =) Ого, змея - это экзотика. Сегодня фильмы смотреть. А ты?","Ого, как интересно, ты блогер =) У тебя популярный блог? Блог это твоя основная деятельность? А по блинчикам я мастер, умею вкусно готовить =) Ого, у тебя есть змея, змея - это экзотика. Я планирую сегодня фильмы смотреть. А ты чем планируешь заняться?"
85,"О, поздравляю вас. Я учитель, безумно люблю детей.","['Хай!', 'Здравствуйте.', 'Как тебя зовут? Сколько лет?', 'Меня зовут Мария, мне 35 лет. А вас как зовут? Сколько вам лет?', 'Меня зовут Регина, мне 26 лет. Давайте познакомимся? У вас есть муж, дети?', 'Давайте познакомимся!', 'Да, у меня есть муж и прекрасная дочка. А у вас?', 'Расскажу немного о себе. Я актриса, но работаю в небольшом театре. А кто вы по профессии? У меня есть парень. Я его безумно люблю, и скоро у нас свадьба.']","О, поздравляю вас. Я учитель, безумно люблю детей.","О, поздравляю вас с предстоящей свадьбой. Я учитель, безумно люблю детей."
86,А я дизайном увлекаюсь.,"['Привет.', 'Привет. Что делаешь?', 'Играю в комп. Ты что делаешь?', 'Готовлю. Люблю готовить сама, поострее что-нибудь.', 'А я студент, поэтому у меня времени готовить особо нет. Что расскажешь?', 'Люблю животных. А ты любишь животных?', 'Нейтрально к животным отношусь.', 'На кого учишься?', 'Учусь на инженера. Но в будущем хочу объездить весь мир.', 'А я дизайном увлекаюсь.']",Нравится?,Нравится тебе дизайн?
87,"Я из Харькова, я нахожу хоть немного времени, чтобы любимым делом позаниматься. Рад знакомству.","['Привет.', 'Привет, чем занимаешься?', 'Дурачимся с другом, я проверяю на прочность свою голову, ты чем занимаешься?', 'О, я только зашёл с прогулки домой, я выгуливал собаку. И с сыном мы в магазин сходили. Собак любишь? Я очень люблю собак. Кем работаешь?', 'Люблю собак, но с собаками возни много, поэтому я предпочитаю более простых животных в плане ухода. Сейчас, например, у меня енот. Я в группе выступаю, а ты кем работаешь?', 'Прикольно поклонницы у тебя наверное, и всё такое! Я программистом работаю в большой компании, программирование сейчас доходное занятие.', 'Ну у меня не без поклонниц конечно, много девчонок любят панк-рок гитаристов. А какие увлечения у тебя?', 'Увлекаюсь дайвингом и читать люблю, особенно Рэя Брэдберри люблю читать, а ты любишь читать? А из какого ты города?', 'Люблю читать, но времени не хватает на чтение, готовимся на Нашествие ехать. Я из Казани, а ты из какого города?']","Я из Харькова, я нахожу хоть немного времени, чтобы любимым делом позаниматься. Рад знакомству.","Я из Харькова, я нахожу хоть немного времени, чтобы любимым делом позаниматься. Рад знакомству с тобой."
88,"Меня зовут Регина, мне 26 лет.","['Хай!', 'Здравствуйте.', 'Как тебя зовут? Сколько лет?', 'Меня зовут Мария, мне 35 лет. А вас как зовут? Сколько вам лет?', 'Меня зовут Регина, мне 26 лет. Давайте познакомимся? У вас есть муж, дети?']",Давайте!,Давайте познакомимся!
89,Я в пригороде Ярославля. У меня дом и ферма небольшая. Семья есть?,"['Привет.', 'Привет, я студент в Юридическом колледже. А чем вы занимаетесь?', 'Я тружусь в автосалоне. Где живёшь?', 'Здорово, ты трудишься в автосалоне, хоть я и не понимаю ничего в авто. Хочу учиться и работать по профессии юриста. Я сейчас живу в Москве. А вы где живете?']",Я в пригороде Ярославля. У меня дом и ферма небольшая. Семья есть?,Я живу в пригороде Ярославля. У меня дом и ферма небольшая. Семья у тебя есть?
90,"Взаимно. Пишите, когда будет скучно. Удачи и вам.","['Приветствую.', 'Здравствуйте.', 'Как ваши дела?', 'Мои дела довольно хорошо. У меня хорошая и любимая работа - я бухгалтер. На работу хожу с удовольствием. Как твои дела?', 'Отличная работа! А я вовсе начальник. Противоречиво только немного выходит порой: я сам себе на уме и рад этому, так как люблю быть в одиночестве, но при этом мне также нужно вести беседы с коллегами. Но я не жалуюсь, люблю свою работу. Потому и дела отлично. Занимаетесь чем-то, помимо работы?', 'Да, конечно занимаюсь помимо работы. Очень люблю рисовать красками, карандашами, рисую пейзажи, натюрморты, зверей. Для моего хобби времени достаточно, поскольку я разведена, никто не мешает. Ещё люблю готовить, печь.', 'О, готовка! Замечательное хобби. Люблю всё, что связано с едой. Правда, приготовить что-либо я не в силах, поэтому просто люблю вкусно покушать. Особенно рыбу после рыбалки! Интереситесь спортом?', 'Да, спортом интересуюсь. И немного занимаюсь: бегаю по утрам и вечерам. Дело в том, что у меня три кошки, выгуливаю их вечером и утром, при этом и тренируюсь. А вы интересуетесь спортом?', 'Необычный досуг выгуливать кошек. А я занимаюсь футболом, играю в команде, люблю это дело не меньше рыбалки и работы.', 'Очень хорошо. Футбол я тоже люблю, а рыбалку особенно.', 'Что ж, приятно было пообщаться. Удачи!']","Взаимно. Пишите, когда будет скучно. Удачи и вам.","Взаимно, приятно пообщаться. Пишите, когда будет скучно. Удачи и вам."
91,"Да, я домохозяйка. Я люблю готовить. Ещё помешана на чистоте. А ты чем любишь заниматься?","['Привет.', 'Приветик!', 'Как твои дела? Чем занимаешься?', 'Сижу дома, скукота.', 'Не работаешь? Какой твоё любимое занятие?']","Неа, я домохозяйка. Я люблю готовить. Ещё помешана на чистоте. А ты чем любишь заниматься?","Неа, я не работаю, я домохозяйка. Я люблю готовить. Ещё я помешана на чистоте. А ты чем любишь заниматься?"
