,model_out_raw,history,text,restored_text
141,"Я пеку ночью, говорят, что вкусно получается. А завтра утром на работу... На кого учишься?","['Привет.', 'Приветик. Как тебя зовут?', 'Меня зовут Михаил. Чего не спишь? Я вот готовлюсь к колледжу.']","Я пеку ночью, говорят, что вкусно получается. А завтра утром на работу... На кого учишься?","Я пеку ночью, говорят, что у меня вкусно получается печь. А завтра утром на работу... На кого учишься?"
142,"История: Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать. Неполное высказвание: О классе: моя сестра, журналист, может про тебя написать статью.","['Привет. Ты где работаешь?', 'Привет! Я ещё учусь, подрабатыв тоже, впрочем.', 'А у меня своя фирма - я издатель.', 'Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать.']","О классе: моя сестра, журналист, может про тебя написать статью.","О классе расскажу: моя сестра, журналист, может про тебя написать статью."
143,"Привет, отлично, а твои как?","['Привет, как дела?']","Привет, отлично, а твои как?","Привет,  дела отлично, а твои дела как?"
144,"Тоже хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?","['Привет, как дела?)', 'Привет. Как всегда дела после йоги - прекрасно. А у тебя?']","Тоже хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?","Тоже дела хорошо, отдыхаем с бригадой, я работаю строителем. А ты кем работаешь?"
145,"Не разбудила? А то я жаворонок, вечно рано пишу.","['Доброе утро!', 'Привет. Я лётчик, очень люблю небо.']","Не разбудила? А то я жаворонок, вечно рано пишу.","Не разбудила я тебя? А то я жаворонок, вечно рано пишу."
146,"Оу, а я из ОАЭ, и поэтому никогда не видел снег.","['Художник на связи.', 'Приветствую тебя добрый друг, ты и в правду художник?', 'Да, конечно я художник, а ещё я люблю компот из сухофруктов. Я даже посвятил ему пару картин.', 'У меня есть прекрасная бабушка, которая в детстве всё время готовила мне компот. Это одно воспоминание из детства: в каком жанре ты пишешь картины? И как относишься к музыке?', 'Я свободный художник. К музыке я нейтрален. Мне больше нравятся собаки. А ты из России?', 'Мне всегда казалось, что талантливые, как ты, люди не могут быть равнодушными к музыке! Я очень люблю петь, да, я живу в Сибире здесь очень холодно.']","Оу, а я из ОАЭ, и поэтому никогда не видел снег.","Оу из Сибири, а я из ОАЭ, и поэтому никогда не видел снег."
147,Из Европы откуда именно? Какие блюда?,"['Привет! Как жизнь? Чем занимаешься?', 'Здорова. Жизнь бьёт ключом. Чиню. А ты кто есть и чем занят?', 'Что чинишь? Я фотограф.', 'Чиню трубы.', 'Я приехал из Европы.', 'Что любишь больше фотографировать?', 'Что любишь? Я вот готовить люблю.']",Из Европы откуда именно? Какие блюда?,Из Европы откуда именно ты приехал? Какие блюда любишь готовить?
148,"Поеду, кстати, завтра в Питер на игру ""СКА"" и ""Спартака"".","['Привет, такси не нужно?', 'Привет!  А-ха-ха нет, такси не нужно! Ты на линии сейчас что ли?', 'Да, я сейчас на линии, ночь же, а я только в это время и работаю. А ты кем работаешь?', 'Да, я только переехал в Москву, поэтому пока со знакомым-фотографом работаю. А ты в каком городе сейчас катаешься как таксист?', 'Не в городе работаю таксистом. Таксую недалеко от Питера. Я уже засыпаю за рулём, но шансон хоть как-то помогает взбодриться. А ты какую музыку любишь?', 'Вообще, разную музыку люблю, главное, чтобы качала, когда боксирую. Просто подборку включаю, вк и всё. Я вот тоже засыпаю, а завтра очень много дел, жёсткий день, который должен закончится неимоверно круто.', 'Круто, ты боксируешь, я тут тоже немного спортом увлекаюсь, но не таким опасным, как бокс. Люблю теннис.']","Поеду, кстати, завтра в Питер на игру ""СКА"" и ""Спартака"".","Поеду, кстати, завтра в Питер на игру СКА и Спартака."
149,Украинская.,"['Доброе утро!', 'Привет. Я лётчик, очень люблю небо.', 'Не разбудила я тебя? А то я жаворонок, вечно рано пишу.', 'Нет, ты меня не разбудила.', 'Я дизайнер, одежду моделирую.', 'Хобби у тебя есть?', 'На выставки хожу и на семинары хожу.', 'А я люблю готовить.', 'В общем, на все культурные события люблю ходить.', 'Ясно, ты любишь ходить на культурные события.', 'Какая любимая кухня у тебя?']",Украинская.,Моя любимая кухня украинская.
150,"Это круто, что вы любите печь, я не очень люблю печь. У вас есть домашние животные?","['Я люблю дизайн-проекты, а ты любишь дизайн-проекты?', 'Есть ли у вас семья?', 'Есть у меня семья, а у вас есть семья?', 'Есть у меня семья.', 'Я увлекаюсь рисованием, а Вы чем увлекаетесь?', 'Я люблю печь.', 'Это круто, что вы любите печь, я не очень люблю печь. У вас есть домашние животные?']","Нет, а у вас?","Нет, у меня нет домашних животных, а у вас есть домашние животные?"
151,Странная мечта! Много времени этому посвящаешь?,"['Привет. Как дела?) Что делаешь?', 'Привет, катаюсь на лыжах с мужем. А ты что делаешь?', 'Прямо сейчас катаешься на лыжах? Лыжи экстрим, здорово. Я собираю чемодан, наоборот, в тёплые края.', 'Передышка небольшая в катании у меня, собака остановилась наша. А чем любишь заниматься?', 'Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты чем любишь заниматься?', 'Я хочу научиться играть в шахматы.']",Странная мечта! Много времени этому посвящаешь?,Странная мечта научиться играть в шахматы! Много времени посвящаешь игре в шахматы?
152,У Вас есть домашние животные? Приятного!,"['Привет.', 'Привет.', 'Как дела, что делаешь?', 'Дела восхитительно, а у Вас как дела? Гуляю с собакой, а Вы что делаете?', 'Пью чаю.']",У Вас есть домашние животные? Приятного!,У Вас есть домашние животные? Приятного чаепития!
153,"Я работаю в магазине менеджером, а ты?","['Привет.', 'Как тебя зовут?', 'Меня зовут Маша, а тебя как зовут?', 'А меня зовут Оксана, очень приятно познакомиться.', 'Взаимно приятно познакомиться)) учишься, работаешь?']","Я работаю в магазине менеджером, а ты?","Я работаю в магазине менеджером, а ты учишься, работаешь?"
154,"Я тоже люблю котиков, но у меня только попугай, но его я тоже люблю! Дрессирую в свободное время.","['Привет, меня зовут Андрей, а тебя как зовут?', 'Привет! Я Катя. Я из Пензы, а ты откуда?', 'Я из Москвы.', 'Чем любишь заниматься?', 'Кем работаешь?', 'Ой, я врачом хочу быть! Мне ещё рано работать, мне 12 лет. А ты работаешь?', 'Ааа, ясно, ты не работаешь, а я люблю с животными повозиться, два котика есть.']","Я тоже люблю котиков, но у меня только попугай, но его я тоже люблю! Дрессирую в свободное время.","Я тоже люблю котиков, но у меня только попугай из животных, но я своего попугая тоже люблю! Дрессирую попугая в свободное время."
155,"Ух ты, ты счастливый человек! А я была замужем! Мой муж выпивал, а я ненавижу алкоголь. Что ты ещё можешь рассказать о себе?","['Привет. Меня зовут Аня.', 'Привет, очень приятно познакомиться, я Антон. Чем занимаешься?', 'Играю на гитаре, люблю музыку, особенно гитару. А ты чем занимаешься?', 'Я пытаюсь освоить компьютер, я пока что с компьютером на вы. Мой старший внук помогает мне с тем, чтобы разобраться в компьюетере, а вообще у меня четверо внуков.']","Ух ты, ты счастливый человек! А я была замужем! Мой муж выпивал, а я ненавижу алкоголь. Что ты ещё можешь рассказать о себе?","Ух ты, четверо внуков у тебя, ты счастливый человек! А я была замужем! Мой муж выпивал, а я ненавижу алкоголь. Что ты ещё можешь рассказать о себе?"
156,"А мне за рулём нравится! Я и вожу отлично, ну мне так говорят. Неполное высказвание: Тру лайф, короче. Уважаю. Ну пока.","['Привет! Поболтаем?', 'Привет. Да, поболтаем.', 'Меня Вика зовут. А тебя как зовут?', 'Меня зовут Брунгильда и я люблю вышивать.', 'Супер, ты любишь вышивать!!! А я только что замуж вышла.', 'Поздравляю со свадьбой, не могу похвастаться тем, что вышла замуж, поскольку я люблю одиночество.', 'Ночами не сплю, гуляю - я вот нашла себе рокера и выскочила за рокера замуж.', 'Но у меня есть кот. А у тебя есть питомец?? Это прекрасно, что ты вышла замуж за рокера. Люблю рок и увлекаюсь современными танцами.', 'Я с животными не очень. Мне некогда, я книгу пишу. Клёво, ты современными танцами увлекаешься.', 'А что тебя вдохновляет? Вот меня вдохновляет небо.', 'А мне за рулём нравится! Я и вожу отлично, ну мне так говорят.']","Тру лайф, короче. Уважаю. Ну пока.","Тру лайф, короче. Уважаю, что ты отлично водишь. Ну пока."
157,"Да вот всё думаю, надо бы чем-то заняться. С этой бухгалтерией одни цифры в голове, надо что-то менять. Может, выучить английский или права получить.","['Привет. Ну как ты? Что нового?', 'Привет. Всё хорошо, ты как?']","Да вот всё думаю, надо бы чем-то заняться. С этой бухгалтерией одни цифры в голове, надо что-то менять. Может, выучить английский или права получить.","Да вот всё думаю, надо бы мне чем-то заняться. С этой бухгалтерией у меня одни цифры в голове, мне надо что-то менять. Может, мне выучить английский или права получить."
158,Поздравляю с предстоящим замужеством.,"['Привет.', 'Привет.', 'Давай знакомиться.', 'Давай знакомиться, меня зовут Юлия.', 'Меня зовут Миша. Я учусь в институте. Люблю животных, недавно я завёл кота. Чем увлекаешься?', 'Я учусь на факультете журналистики, потому что очень люблю общение и ещё я очень отзывчивый человек, поэтому эта профессия создана для меня. У тебя есть девушка?', 'Круто, ты журналист. Но у меня круче профессия. Я помогаю онкологически больным детям. Девушки у меня нету (у меня проблемы с лишним весом, очень поесть люблю). А у тебя парень есть?', 'Лишний вес не помеха найти себе вторую половинку.', 'Ну для меня пока проблема найти девушку, потому что я с лишним весом.', 'У меня есть жених, и мы скоро поженимся с моим женихом, я своего жениха очень люблю.']",Поздравляю.,Поздравляю тебя со скорой свадьбой.
159,"Это хорошо, когда кайфуешь от работы.","['Привет.', 'Привет.', 'Тебя как зовут?', 'Максим меня зовут, а тебя как зовут?', 'И меня зовут Максим - тёска. А ты случайно, как и я, не любишь пиво? D: Ну мало ли, может, мы сильно похожи? Чего молчишь?', 'К сожалению, нет или, к счастью, я занимаюсь спортом и пиво не люблю. В основном это хоккей, моё любимое занятие, проводимого времени за тренировками, также люблю по утрам побегать, помогает проснуться. А ты чем увлекаешься?', 'За увлечение хоккей моё уважение, я сам болельщик ХК ""Трактор"". Я со своими детьми часто посещаю их матчи, все трое тоже любят. Я футболом увлекаюсь, занимаюсь лет с 7. А ты увлекаешься футболом?', 'А мне вот только играть нравится, матчи смотрю очень редко, больше театры по душе.', 'У тебя домашние животные есть?', 'Заниматься начал тоже в детстве, даже не помню, сколько точно. У меня есть 2 собаки: такса и чихуахуа. Таксы всегда нравились, а вот чихуахуа только эту увидел и сразу влюбился. Никогда не думал, что полюблю эту породу. А у тебя есть животные?', 'У меня лабрадор мой любимый, его Чаппи зовут. Моему лабрадору уже 10 лет.', 'Взрослый пес у тебя, у меня собаки помоложе, одной 6 лет и второй 2 года.', 'А тебе, как и мне, много лет? Работаешь? Или я один такой старик на 5 работах вкалываю, день и ночь. Вот остаётся совсем немного времени на общение.', 'Да, мне 34 года, работаю таксистом, нравится быть за рулём, прям нереальное удовольствие испытываю.']","Это хорошо, когда кайфуешь от работы.","Это хорошо, когда кайфуешь от работы таксистом."
160,Я слушаю классику! А ты?,"['Привет.', 'Привет.', 'Расскажи о себе.', 'У меня есть кошка, и я люблю играть на пианино.', 'Любишь животных? У меня собака.', 'Конечно, люблю животных, собаки прекрасные животные.', 'А как насчёт музыки? Какие у тебя вкусы?']",Я слушаю классику! А ты?,Я слушаю классику! А ты какую музыку слушаешь?
161,"Не знаю, наверное, ничего не умею. Ой, пришли соседи с четвёртого этажа, затопила их, пока...","['Здравствуйте, я Маша. А Вас как зовут?', 'Привет. Очень приятно познакомиться, Маша. Я Алекс, живу в Норвегии, а вы?', 'Приятно и мне познакомиться. Я живу в Украине.', 'Чем увлекаетесь?', 'Ничем не увлекаюсь, мне ничего не интересно, только птичек на балконе кормлю. У вас какое хобби? Я очень одинока, хоть и есть у меня две сестры, но они очень далеко.', 'Оо, вы птичек на балконе кормите... я очень люблю птичек. У меня дома есть мой красавец попугай, а ещё очень люблю животных, у меня было раньше 10 лошадок.', 'ООО, наверное, вы очень состоятельный человек, а я безработная.', 'Почему вы безработная? Не можете найти подходящую работу?']","Не знаю, наверное, ничего не умею. Ой, пришли соседи с четвёртого этажа, затопила их, пока...","Не знаю, почему я безработная, наверное, ничего не умею. Ой, пришли соседи с четвёртого этажа, затопила их, пока..."
162,У меня мама тоже вкусно получается.,"['Привет.', 'Привет.', 'Чем занимаешься?', 'Я домохозяйка пока что. Сижу с ребёнком. Я замужем. А ты замужем?', 'А я школу заканчиваю. Я самая младшая в семье. Зато у меня есть старшие брат и сестра, и три племянника. А чем занимаешься в свободное время?', 'Ого, большая семья! Я люблю читать и вышивать крестиком.', 'Я люблю рисовать в свободное время. Спорт не люблю... И физру в школе тоже не люблю.', 'Но так как ребёнка вышивка не сильно интересует, то и готовить люблю.', 'У меня мама тоже любит вышивать']",У меня вкусно получается.,У меня вкусно получается готовить.
163,"Если взять с собой пиццу, то я не против. Можем сходить.","['Здравствуйте.', 'Привет, я сейчас за рулём, сложно отвечать.', 'Ну тогда ладно. Потом спишемся.', 'Работа водителя непроста, я освободился.', 'Я пойду почитаю. Пока что что.', 'Любишь читать?', 'Да в театр не хочешь сходить?', 'А я люблю смотреть сериалы, особенно ""Игру престолов"".', 'Есть два билета, но ни с кем пойти.', 'Я не очень люблю театр.', 'Ого, а я играл в игру пристолока.)']","Если взять с собой пиццу, то я не против. Можем сходить.","Если взять с собой пиццу, то я не против сходить в театр. Можем сходить."
164,Мне 30. А моим сестрам 21 и 19. Любишь готовить? Я обожаю.,"['Привет!', 'Приветики. Как дела?', 'Всё хорошо. Кормлю своих животных - собаку и кошку. Любишь животных?', 'Да, люблю животных, у меня есть кот Семён. Сколько тебе лет?']",Мне 30. А моим сестрам 21 и 19. Любишь готовить? Я обожаю.,Мне 30 лет. А моим сестрам 21 год и 19 лет. Любишь готовить? Я обожаю готовить.
165,"Ого, это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!","['Добрый день!', 'Привет. Что расскажешь?', 'А что тебя интересует для рассказа?', 'Меня интересуют компьютерные игрушки разве что. И поесть, если это можно назвать интересом. Ты чем увлекаешься?', 'Я в основном читаю, где ты работаешь?', 'Посоветуешь, что мне прочесть? Я в интернете (весь в интернете) работаю, делаю рекламу для одного сайта оптовой торговли. А ты где работаешь?']","Ого, это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!","Ого, работать в интернете это здорово! Я в основном читаю книги по медицине. Но тебе посоветую из классики Шарлотту Бронте! Очень люблю её. Я хирург. Спасибо за диалог, мне пора бежать. Пока!"
166,"История: Вот когда закончу универ, стану известным доктором. Неполное высказвание: Нет, я не женат... Но есть замужняя любовница. Ладно, приятно было поболтать пока.","['Привет. Ты где работаешь?', 'Привет! Я ещё учусь, подрабатыв тоже, впрочем.', 'А у меня своя фирма - я издатель.', 'Я учусь последний год. Хочу поступать в медицинский. Люблю людей спасать.', 'О классе расскажу: моя сестра, журналист, может про тебя написать статью.', 'Круто!) У вас семейное дело - издательство.', 'Про спасение людей.', 'Вот когда закончу универ, стану известным доктором.']","Нет, я не женат... Но есть замужняя любовница. Ладно, приятно было поболтать пока.","Нет, я не женат... Но у меня есть замужняя любовница. Ладно, приятно было поболтать пока."
167,"Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты?","['Привет. Как дела?) Что делаешь?', 'Привет, катаюсь на лыжах с мужем. А ты что делаешь?', 'Прямо сейчас катаешься на лыжах? Лыжи экстрим, здорово. Я собираю чемодан, наоборот, в тёплые края.', 'Передышка небольшая в катании у меня, собака остановилась наша. А чем любишь заниматься?']","Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты?","Мы прямо две противоположности: я кошатница, обожаю готовить, особенно всякие тортики пирожные. А ты чем любишь заниматься?"
168,"Я вообще разносторонний человек. Очень люблю детейшек, поэтому пошла работать тренером. А ты?","['Привет. Я Миша. А как тебя зовут?', 'Привет, я Лера! Приятно познакомиться!', 'И мне приятно познакомиться, чем увлекаешься? Кем работаешь?']","Я вообще разносторонний человек. Очень люблю детишек, поэтому пошла работать тренером. А ты?","Я вообще разносторонний человек. Очень люблю детишек, поэтому пошла работать тренером. А ты чем увлекаешься и кем работаешь?"
169,"Ой, классно, у тебя две дочки, как это очень замечательно.","['Привет! Я в школе учусь, а ты учишься в школе?', 'Приветик! Я певица Аня, мне 28.', 'Обожаю вязать и гулять! Очень приятно познакомиться.', 'А я люблю водить машину. Особенно люблю водить машину ночью.', 'Ой, классно, а я в восторге от котят. Читаю Пушкина по вечерам. Чем ещё увлекаешься?', 'А я мечтаю уехать в Испанию...', 'Да я бы тоже сделала, в Испанию уехала.', 'Котята - это мило!', 'Слетала бы в Испанию. Ага, котята это мило, ещё что ещё расскажешь о себе?', 'У меня двое детей. Две замечательные дочки.', 'Ой, классно, у тебя две дочки, как это очень замечательно.']",Ага,"Ага, это замечательно."
170,"Это хорошо, а я только недавно со школы вернулась, буду делать уроки.","['Привет. Как дела?', 'Привет, всё супер! У вас как дела?', 'Хорошо у меня дела, что делаешь?', 'Ещё сижу на работе, но рабочий день уже подходит к концу. А ты что делаешь?']","Это хорошо, а я только недавно со школы вернулась, буду делать уроки.","Это хорошо, что день подходит к концу, а я только недавно со школы вернулась, буду делать уроки."
171,"Прекрасно! Я просто обожаю их, они цветы нашей жизни.","['Привет!', 'Здраствуйте!', 'Как у тебя дела? Чем занимаешься?', 'Как вы относитесь к детям?']","Прекрасно! Я просто обожаю их, они цветы нашей жизни.","Прекрасно отношусь к детям! Я просто обожаю детей, дети цветы нашей жизни."
172,"А бизнес не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2.","['Привет! Как дела? Как настроение?', 'Привет. Как дела? Настроение норм.', 'Я студент, так что дела идут неплохо, только спать хочу, ох уж эти лекции и семинары... А какие планы на жизнь? У меня сейчас много идей, даже мечтаю открыть бизнес. Ну это лет через 5, наверно.', 'Да на лекциях сидеть скучно, лучше ездить за границу, как я.', 'Вау, ты ездишь за границу, я ещё никогда за пределы России не выезжал, интересно, наверно? Пока учу английский, может, следующим летом поеду в Европу.']","А бизнес не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2.","А бизнес ты мечтаешь открыть не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2."
173,"Я сам сегодня планирую покататься на канатной дороге, хочу побороть свой страх высоты. У меня только кот.","['Привет! Как твои дела?', 'Привет. Хорошо, собираюсь на пляж. А ты как?', 'Мои дела не сильно приятные, очень устаю на работе, их целых 5! Приходится идти на жертвы ради любимой жены и троих детей. Мне тоже хочется на пляж, сесть на шезлонг, потягивать пиво и любоваться закатом.', 'Я тебя понимаю и даже в чём-то завидую, ведь у тебя такая большая семья. Я тебя понимаю и даже в чём-то завидую, ведь у тебя такая большая семья.', 'Да у меня большая семья! Мы очень дружные, я учу своих сыновей играть футбол, так как сам им занимаюсь профессионально и очень его люблю.', 'Это здорово, ведь спорт - это движение, а движение - жизнь.', 'У тебя есть домашние питомцы? У меня есть собачка Джина, я просто безумна от неё! Очень сильно люблю свою собаку.', 'Я сам сегодня планирую покататься на канатной дороге, хочу побороть свой страх высоты. У меня только кот.']",Ты любишь его?,Ты любишь своего кота?
174,Люблю ходить в походы.,"['Привет.', 'Привет.', 'Ты работаешь?', 'Я сейчас занимаюсь спортом. Ты чем занимаешься сейчас?', 'Здорово, я как раз люблю волейбол, но вообще я домохозяйка! У тебя есть семья? Я вот обожаю своего братика!', 'Да, у меня есть семья. А что любишь готовить?', 'Если честно, то люблю готовить корм для своего котёнка! Мой котенок такой лапочка! Можно много чего приготовить моему котенкой, а платой за приготовленную еду будет неподдельная кошачья любовь! А ты любишь готовить?', 'Я не люблю готовить. Я люблю путешествовать. У тебя есть хобби? Какое твое хобби?', 'Мой брат недавно подарил мне шикарную юбку. Мой брат знает, что я люблю! Хобби у меня нет, ну, кроме того, что люблю в волейбол играть, а у тебя есть хобби?', 'Люблю ходить в походы.']",Здорово! Спасибо за диалог!,"Здорово, ты любишь ходить в походы! Спасибо за диалог!"
175,"Да, я катаюсь на роликах, а ты?","['Привет.', 'Привет.', 'Чем заняты?', 'Как тебя зовут? Тетради проверяю.', 'Меня зовут Татьяна, а вас как зовут?', 'Я учитель. Меня зовут Елена, давай на ты.', 'А я стригу! Я парикмахер. Хорошо, давай на ты.', 'Я так и предположила, что ты парикмахер: у тебя есть питомцы?', 'Много работы у тебя? У меня вот много работы.', 'У меня очень много работы.', 'Да, питомцы есть, крыса) плюс живу с родственниками. А у тебя есть питомцы?', 'А у меня есть питомец, лабрадор.', 'Круто, у тебя лабрадор. А спорт любишь?']","Да я катаюсь на роликах, а ты?","Да, спорт люблю, я катаюсь на роликах, а ты спорт любишь?"
176,"Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты?","['Здравствуйте, чем занимаешься?']","Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты?","Добрый вечер! Веду хозяйство, пеку торты, воспитывают двух дочек. А ты чем занимаешься?"
177,"Нет, я школьница.","['Привет. Как день?', 'Привет! У меня всё отлично. Как ваши дела?)) Вы из какого города?', 'Дела супер, у меня перемена! Я из Москвы, чем занимаетесь?', 'А я из Иванова. Иваново - маленький город, и здесь скучно жить. Сижу на паре, учусь в Ранхигсе. Вам сколько лет?', 'Может, у тебя есть хобби?', 'Люблю танцевать и рисовать.', 'Мне 16 лет.', 'А у вас есть хобби? А мне 20 лет.', 'Я мечтаю работать.', 'Так ты работаешь уборщицей?? Ты где-то учишься?']","Нет, я школьница.","Нет, я не работаю, я школьница."
178,"В свободное время увлекаюсь рыбалкой и охотой, преподаю программирование.","['Привет.', 'Здравствуйте. Как вас зовут?', 'Меня зовут Андрей, а вас как зовут? Чем занимаетесь?', 'Очень приятно познакомиться, вас зовут Андрей, как моего внука :-) А меня зовут Людмила Александровна, я вязала и готовила, решила отвлечься и поболтать в чате. А вы чем занимаетесь?', 'Я преподаватель в университете.', 'Что преподаёте в университете?']",В свободное время увлекаюсь рыбалкой и охотой. Преподаю программирование.,В свободное время увлекаюсь рыбалкой и охотой. В университете преподаю программирование.
179,Маша!,"['Приветствую.', 'Привет.', 'Ты кто?']",Маша!,Я Маша! Кем работаешь?
180,"А ещё я хочу поехать в Париж, мне говорили, что там ну очень круто, это моя мечта, а что насчёт тебя?","['Здравствуйте.', 'Привет, не хочешь ко мне на кофе сходить? У меня мама варит кофе. Ты знаешь, кто такой баха? Честно сказать, не люблю его.', 'Конечно, я не против сходить к тебе на кофе, как раз кофе это мой любимый напиток.', 'У меня есть хобби: я люблю выращивать кукурузу и ещё вязать люблю. И моя короночка - я владею суахили.', 'Выращивать кукурузу и вязать это отличное хобби, а я работаю медбратом, а моя жена работает медсестрой.', 'Круто, ты работаешь медбратом, а твоя жена медсестрой.']","А ещё я хочу поехать в Париж, мне говорили, что там ну очень круто, это моя мечта, а что насчёт тебя?","А ещё я хочу поехать в Париж, мне говорили, что там в Париже ну очень круто, это моя мечта, а что насчёт тебя?"
181,"А я не только люблю рыбалку, но и обожаю плавать.","['Привет! Как дела? Как тебя зовут?', 'Привет. Меня зовут Настя, а тебя как зовут?', 'Меня зовут Эдик, мне 21 год, а тебе сколько лет?', 'Где ты работаешь?', 'Я мужчина в прекрасном возрасте. Я пока в отпуске, но работаю водителем такси.', 'А я работаю в медиа, на телевидении.', 'Ух ты! Умница, ты работаешь на телевидении! А что ты любишь делать в свободное от работы время?', 'Люблю готовить, мне очень нравится европейская кухня. Какое твоё любимое блюдо? Также я много путешествую. Обожаю поедки за город - за городом свежий воздух, лес, речка.', 'Я тоже обожаю готовить, особенно блюда из мяса (шашлык, плов). Кстати, я ненавижу капусту.', 'Люблю рыбалку. Да уж, капуста с мясом не сравнится.', 'А я не только люблю рыбалку, но и обожаю плавать.']",Круто. У нас много общего.,"Круто, ты любишь плавать. У нас много общего."
182,Взаимно.,"['Привет. Как дела? Познакомимся?', 'О, привет! Хорошо, у тебя как? Конечно давай познакомимся.', 'У меня тоже дела не плохо? Как тебя зовут? Чем увлекаешься? От куда ты?', 'Меня зовут Акмал. Я из Тулы. Я музыкант, люблю путешествовать по разным городам. А ты откуда и чем увлекаешься?', 'Я Ира, я с Украины. Работаю учителем младших классов, выходя с моей профессии, обожаю читать, предпочитаю читать классическую литературу. А у меня только в планах путешествия.', 'Очень приятно познакомиться.']",Взаимно.,"Мне тоже, взаимно приятно познакомиться."
183,Так нельзя! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?,"['Приветики.', 'Привет.', 'Я мамочка троих замечательных деток. А у тебя сколько детей?', 'Хорошо, иметь троиз детей. У меня нет детей, всё время трачу на бизнес.']",Так нельзя! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?,"Так нельзя, все время тратить на бизнес! Ты что! Дети - это святое! В свободное время я даже рисую своих крошек! И очень люблю для них готовить. А какие у тебя хобби?"
